Order Number,Name,Signed Date,Notes
Executive Order    9937 ,Authorizing the Agencies Participating in the Philippine Rehabilitation Program To Exercise the Authority Vested in the President by Section 4 of the Philippine Property Act of 1946,"Signed: March 20, 1948","Federal Register page and date: 13 FR 1503, March 23, 1948 
"
Executive Order    9938 ,"Revoking Executive Order No. 9544 of April 25, 1945, Authorizing the Secretary of War To Assume Control of a Certain Airport ","Signed: March 22, 1945","Federal Register page and date: 13 FR 1555, March 24, 1948 
Revokes: EO 9544, April 25, 1945
"
Executive Order    9939 ,Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Bituminous Coal Industry of the United States ,"Signed: March 23, 1948","Federal Register page and date: 13 FR 1579, March 25, 1948 
See: EO 9970, June 19, 1948
"
Executive Order    9940 ,"Creating an Emergency Board To Investigate a Dispute Between the Railway Express Agency, Inc., and Certain of its Employees ","Signed: March 25, 1948","Federal Register page and date: 13 FR 1625, March 27, 1948 
Revoked by: EO 12553, February 25, 1986
"
Executive Order    9941 ,Authorizing the Secretary of State To Prescribe Rules and Regulations Relating to the Foreign Service Retirement and Disability System ,"Signed: March 26, 1948 ","Federal Register page and date: 13 FR 1625, March 27, 1948 
Superseded by: EO 10897, December 2, 1960
"
Executive Order    9942 ,Providing for the Performance of Certain Functions Under the Rubber Act of 1948 ,"Signed: April 1, 1948 ","Federal Register page and date: 13 FR 1823, April 3, 1948 
Amended by: EO 10539, June 22, 1954 
"
Executive Order    9943 ,Providing for Carrying Out the Foreign Assistance Act of 1948 ,"Signed: April 9, 1948","Federal Register page and date: 13 FR 1975, April 13, 1948 
Superseded by: EO 10387, August 25, 1952
"
Executive Order    9944 ,Authorizing the Department of State To Administer Certain Functions Under the Foreign Assistance Act of 1948 ,"Signed: April 9, 1948","Federal Register page and date: 13 FR 1975, April 13, 1948  
Revoked by: EO 10338, April 4, 1952
"
Executive Order    9945 ,"Further Amending Executive Order No. 9154 of May 1, 1942, Authorizing Certain Exclusions From the Operation of the Civil Service Retirement Act of May 29, 1930, as Amended ","Signed: April 9, 1948","Federal Register page and date: 13 FR 1975, April 13, 1948 
Amends: EO 9154, May 1, 1942
"
Executive Order    9946 ,Regulations Governing Allowances for Actual Transportation Expenses in Excess of the Lowest First-Class Rate in Certain Cases ,"Signed: April 10, 1948 ","Federal Register page and date: 13 FR 1977, April 13, 1948
"
Executive Order    9947 ,Creating an Emergency Board To Investigate a Dispute Between the Pennsylvania Railroad and Certain of its Employees ,"Signed: April 10, 1948","Federal Register page and date: 13 FR 1977, April 13, 1948 
Revoked by: EO 12553, February 25, 1986
"
Executive Order    9948 ,Creating an Emergency Board To Investigate a Dispute Between the Aliquippa and Southern Railroad Company and Certain of its Employees ,"Signed: April 10, 1948","Federal Register page and date: 13 FR 1977, April 13, 1948
Revoked by: EO 12553, February 25, 1986
"
Executive Order    9949 ,"Modifying Executive Order No. 9721, Providing for the Transfer of Personnel to Certain Public International Organizations ","Signed: April 17, 1948","Federal Register page and date: 13 FR 2089, April 20, 1948
Amends: EO 9721, May 10, 1946
Revoked by: EO 12553, February 25, 1986
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)
"
Executive Order    9950 ,"Revoking Executive Order No. 9877 of July 26, 1947, Prescribing the Functions of the Armed Forces ","Signed: April 21, 1948","Federal Register page and date: 13 FR 2191, April 23, 1948 
Revokes: EO 9877, July 26, 1947
"
Executive Order    9951 ,Restoring Certain Land of the Kuwili Park Military Reservation to the Jurisdiction of the Territory of Hawaii ,"Signed: April 21, 1948","Federal Register page and date: 13 FR 2191, April 23, 1948  
"
Executive Order    9952 ,Termination of Reemployment Rights of Federal Civilian Employees Who Transferred to Public or Private Agencies for National-Defense or War Work ,"Signed: April 22, 1948","Federal Register page and date: 13 FR 2214, April 24, 1948 
Amended by: EO 9994, September 1, 1948
See: EO 8973, December 12, 1941; EO 
      9067, February 20, 1942
"
Executive Order    9953 ,Establishing the Interdepartmental Committee for the Peacetime Voluntary Payroll Savings Plans for the Purchase of United States Savings Bonds ,"Signed: April 23, 1948","Federal Register page and date: 13 FR 2247, April 27, 1948 
Supersedes: EO 9135, April 16, 1942
Superseded by: EO 10626, August 4, 1955
"
Executive Order    9954 ,Exemption of John Monroe Johnson From Compulsory Retirement for Age ,"Signed: April 26, 1948","Federal Register page and date: 13 FR 2283,  April 28, 1948 
See: EO 10034, April 26, 1948
"
Executive Order    9955 ,Regulations Pertaining to Promotions to Certain Grades in the Regular Corps of the Public Health Service ,"Signed: May 6, 1948","Federal Register page and date: 13 FR 2442, May 7, 1948 
Revoked by: EO 9993, August 31, 1948
"
Executive Order    9956 ,Exemption of Harry B. Mitchell From Compulsory Retirement for Age ,"Signed: May 6, 1948","Federal Register page and date: 13 FR 2471, May 8, 1948 
See: EO 10021, December 14, 1948
"
Executive Order    9957 ,"Possession, Control, and Operation of Railroads ","Signed: May 10, 1948","Federal Register page and date: 13 FR 2503, May 11, 1948 
See: Termination Order of the Secretary of the Army dated July 9, 1948 (13 FR 3975)
"
Executive Order    9958 ,"Creating an Emergency Board To Investigate a Dispute Between the National Airlines, Inc., and Certain of its Employees ","Signed: May 15, 1948","Federal Register page and date: 13 FR 2675, May 18, 1948  
Superseded by: EO 9965, June 3, 1948
"
Executive Order    9959 ,Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Communications Industry of the United States ,"Signed: May 18, 1948 ","Federal Register page and date: 13 FR 2707, May 20, 1949
"
Executive Order    9960 ,Providing for the Administration of Aid and Relief for the People of Certain Countries ,"Signed: May 19, 1948","Federal Register page and date: 13 FR 2707, May 20, 1948 
Amends: EO 9864, May 31, 1947; EO 
      9914, December 26, 1947
Revoked by: EO 10338, April 4, 1952
"
Executive Order    9961 ,Directing the Civil Service Commission To Make Determinations With Respect to the Reemployment Rights of Persons Who Left the Federal Service To Serve in the Armed Forces or the Merchant Marine ,"Signed: May 19, 1948","Federal Register page and date: 13 FR 2735, May 21, 1948
Amends: EO 9830, February 24, 1947
Amended by: EO 12107, December 28, 1978
"
Executive Order    9962 ,Regulations Governing the Payment of Salaries and Compensations of Federal Employees Outside the Continental United States or in Alaska ,"Signed: May 24, 1948","Federal Register page and date: 13 FR 2783, May 25, 1948 
Revoked by: EO 10000, September 16, 1948
"
Executive Order    9963 ,Exemption of Samuel B. Hill From Compulsory Retirement for Age ,"Signed: May 28, 1948","Federal Register page and date: 13 FR 2943, June 2, 1948 
"
Executive Order    9964 ,Creating a Board of Inquiry To Report on Certain Labor Disputes Affecting the Maritime Industry of the United States ,"Signed: June 3, 1948","Federal Register page and date: 13 FR 3009, June 5, 1948 
"
Executive Order    9965 ,"Creating an Emergency Board To Investigate Certain Disputes Between the National Airlines, Inc., and Certain of Its Employees ","Signed: June 3, 1948","Federal Register page and date: 13 FR 3009, June 5, 1948 
Supersedes: EO 9958, May 15, 1948
Revoked by: EO 12553, February 25, 1986
"
Executive Order    9966 ,Exemption of Carroll Miller From Compulsory Retirement for Age ,"Signed: June 4, 1948","Federal Register page and date: 13 FR 3193, June 12, 1948 
"
Executive Order    9967 ,Designation of Certain Officers To Act as Secretary of Agriculture ,"Signed: June 12, 1948","Federal Register page and date: 13 FR 3249, June 16, 1948 
Supersedes: EO 7465, October 6, 1936
Superseded by: EO 10481, August 
      15, 1953
"
Executive Order    9968 ,Designation of Certain Officers To Act as Secretary of Labor ,"Signed: June 17, 1948","Federal Register page and date: 13 FR 3313, June 19, 1948 
Superseded by: EO 10513, January 19, 1954
"
Executive Order    9969 ,"Suspension of Eight-Hour Law as to Work by the Alaska Railroad, Department of the Interior ","Signed: June 19, 1948","Federal Register page and date: 13 FR 3449, June 22, 1948 
"
Executive Order    9970 ,Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Bituminous Coal Industry of the United States,"Signed: June 19, 1948","Federal Register page and date: 13 FR 3333, June 22, 1948 
See: EO 9939, March 23, 1948
"
Executive Order    9971 ,Creating an Emergency Board To Investigate Disputes Between Certain Transportation Systems Operated by the Secretary of the Army and Certain Workers ,"Signed: June 23, 1948","Federal Register page and date: 13 FR 3481, June 25, 1948 
Revoked by: EO 12553, February 25, 1986
"
Executive Order    9972 ,"Designating the International Joint Commission--United States and Canada as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities ","Signed: June 25, 1948","Federal Register page and date: 13 FR 3573, June 29, 1948 
Amends: EO 9698, February 19, 1946; EO 
      9751, July 11, 1946: EO 9823, January 24, 
      1947; EO 9863, May 31, 1947; EO 
      9887, August 22, 1947; EO 9911, December 
      19, 1947
Amended by: EO 10025, December 30, 1948
"
Executive Order    9973 ,"Amendment of Executive Order 9830 of February 24, 1947, Amending the Civil Service Rules and Providing for Federal Personnel Administration ","Signed: June 28, 1948","Federal Register page and date: 13 FR 3600, June 30, 1948 
Amends: EO 9830, February 24, 1947
Revoked by: EO 10577, November 22, 1954
See: EO 10440, March 31, 1953
"
Executive Order    9973-A ,Exemption of Frank H. Wang From Compulsory Retirement for Age ,"Signed: July 2, 1948","Federal Register page and date: 13 FR 3759, July 7, 1948 
"
Executive Order    9974 ,"Extension of Executive Order No. 9898 of October 14, 1947, as Amended, Suspending the Eight-Hour Law as to Laborers and Mechanics Employed by the Departments of the Army and the Air Force on Certain Public Works ","Signed: July 1, 1948","Federal Register page and date: 13 FR 3689, July 2, 1948 
Amends: EO 9898, October 14, 1947
See: EO 9926, January 17, 1948; EO 
      10064, June 30, 1949
"
Executive Order    9975 ,Regulations Governing the Allowance of Travel Expenses of Claimants and Beneficiaries of the Veterans' Administration and Their Attendants ,"Signed: July 7, 1948","Federal Register page and date: 13 FR 3805, July 9, 1948 
Supersedes: EO 9446, June 8, 1944
Amended by: EO 10070, July 20, 1949
Revoked by: EO 10810, April 22, 1959
"
Executive Order    9976 ,"Amendment of Executive Order No. 9871 of July 8, 1947, Prescribing Regulations Governing the Granting of Allowances for Quarters and Subsistence To Enlisted Men of the Army, Navy, Marine Corps, and Coast Guard, and Per Diem Allowances to Members of Such Services and Coast and Geodetic Survey and Public Health Service on Duty Outside the Continental United States or in Alaska","Signed: July 12, 1948","Federal Register page and date: 13 FR 3965, July 14, 1948
Amends: EO 9871, July 8, 1947
See: EO 10061, June 2, 1949
"
Executive Order    9977 ,Discontinuing Certain District Land Offices ,"Signed: July 14, 1948","Federal Register page and date: 13 FR 4033, July 16, 1948
"
